Index,Review,Prof Rating,Course Rating,Overall Rating,Course Name
1,"Prof Li is a great lecturer, super considerate of his students, and overall very kind. His exams were quite fair despite the difficulty of the content. Highly recommend him for COMP 551!",5,3,3,Comp 551
2,It's hard to explain complex things in simple words and this Prof knows how to do it. Highly recommended!,3,-1,4,Comp 551
3,"tbh those giving him bad ratings in for comp 551 are just mad they didn't do well in this class. Its a 4 credit 500-level class, of course its not easy and a lot of work. His lectures are great. He has really nice slides and he is always available. Overall, great teacher. Just a really hard class.",4,-1,3,Comp 551
4,"machine learning comp551 is a very useful course but also very difficult , but he explained the concept very well . the midterm was a bit tough.",4,3,3,Comp 551
5,"Was always well prepared for lectures and did a comprehensive job at preparing the learning materials and organizing the class. Really made an effort to make the theory as well as the implementations approachable. This course was math heavy, but the professor made sure to go through all of it step by step. The recorded lectures were very helpful.",4,-1,3,Comp 551
6,I really enjoyed taking COMP551 with Professor Li! He is a great instructor and his explanations are clear. The assessments (exams and assignments) were fair. Highly recommend!,4,2,3,Comp 551
7,"Sorry but these other reviewers of COMP551 are already gifted. This course is extremely math and theory focused. Huge derivations were given in lectures as form of ""explanation"". Yes, the assignment extensions were great but for each assignment, only 2 TAs are grading and all other TAs can't help you. Final exam was fair though. Caution, math heavy",-1,2,2,Comp 551
8,"Professor Li is very caring for his students, and his exams are fair and reasonable to complete. He always listens to his students and keeps improving himself! Thank you Professor Li for a great semester!",4,-1,3,Comp 551
9,"Caring professor. The fair midterm (20% open-book), weekly 1% quizzes, and research-type assignments (40%) allow you to show up on the final (also open-book) knowing you already passed the class. He lets students ask questions in lectures and often goes back on previous material as a reminder. Part of the assignments are graded based on creativity.",3,-1,3,Comp 551
10,"Absolutely agree that he's a great professor. The assignment extensions are god-like, lecture slides were informative and organized. He pause at good timing to answer questions. I wish every professor was like him, it would make university a lot easier!",5,-1,3,Comp 551
11,"Great, great prof. His lectures were very well organized and thorough, and he always went out of his way to ensure we understand the content. The assignments were very well made and very useful. He's also incredibly accommodating in terms of deadlines. I can only recommend him!",5,-1,3,Comp 551
12,"You have quizzes and 3 or 4 projects. You can do the quizzes several times. All of the projects with Python and implement them from scratch. It is necessary to study the recorded videos of the class several times. The professor will post sample questions, check them, and quizzes because the main exam is similar to the same questions.",-1,3,3,Comp 551
13,"Curriculum is well thought through, slides are high quality, and online resources are abundant. Group projects were required, which can be annoying, but the assignments themselves were very interesting and enjoyable.",-1,3,2,Comp 551
14,Does not explain the lecture clear enough. A lot of typo in the slides.,2,-1,1,Comp 551
15,"Definitely take COMP 551 with her! The lectures dig into some of the math behind ML. She is also very available outside of class, which is great since this course touches upon many (demanding) topics.",3,-1,3,Comp 551
16,I have never met this kind of irrational professor who gave us a lengthy midterm.,1,-1,1,Comp 551
